"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"REPSOL",42.846028,-2.509361,1.119,0.726,,,9381
"ESTACIONES GB",43.044333,-2.989111,1.059,,1.169,1.279,13543
"CEPSA",43.031889,-2.967611,1.109,,1.213,1.328,45
"(SIN RÓTULO)",42.753194,-2.477917,1.065,,1.21,1.31,8060
"AVIA",42.876861,-2.616361,1.139,,1.239,1.339,16
"CEPSA",42.941417,-2.639528,1.129,,1.213,1.328,43
"AVIA ",43.123361,-3.122528,1.119,0.785,1.205,1.325,5
"CEPSA",42.866417,-2.278694,1.079,,1.159,,50
"ADS",42.870861,-2.312056,1.08,,,,12441
"PETRONOR",42.670222,-2.357278,1.069,0.8,1.2,,114
"REPSOL",42.878556,-2.518167,1.149,,1.249,1.349,100
"EUROCAM",42.823778,-2.77225,1.005,,1.076,,11732
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"PETRONIEVES",42.82525,-2.77475,0.993,0.791,,,13757
"REPSOL",42.635194,-2.849833,1.129,0.823,1.219,1.349,51
"REPSOL",42.547639,-2.578806,1.079,0.823,1.199,,83
"AVIA",42.755583,-3.04575,1.06,,1.14,,24
"PETRONOR",43.148639,-2.951361,1.139,,1.229,1.369,88
"EROSKI",43.138,-2.968,1.079,,1.169,1.243,32
"E.S. OION",42.490611,-2.432278,1.109,0.829,1.199,1.329,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.089,0.739,1.209,,148
"EESS ROMPETROL",42.692917,-2.920667,1.129,,1.199,1.299,11651
"PETRONOR",42.741361,-2.913222,1.119,,1.215,1.335,107
"PETRONOR",42.743111,-2.913306,1.119,,1.215,1.335,106
"SHELL",42.710639,-2.906944,1.144,,1.244,,8374
"EROSKI",42.704639,-2.917639,0.99,,1.13,1.17,33
"GALP",42.848944,-2.394583,1.117,0.942,1.213,1.313,66
"ALAVESA",42.852694,-2.379083,1.029,0.749,1.169,,13950
"IS-XXI",42.863583,-2.324083,1.149,0.828,1.249,,12644
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.139,0.835,1.231,1.331,11
"VALCARCE",42.871167,-2.314083,1.109,,,,12266
"EDP",42.860083,-2.703306,,,,,13549
"EROSKI",42.860306,-2.664278,0.989,,1.129,,34
"EROSKI",42.854694,-2.708611,0.989,,1.129,,12997
"REPSOL",42.842833,-2.682278,1.139,,1.239,1.379,133
"CEPSA",42.852417,-2.709972,1.129,,1.213,1.328,11010
"REPSOL",42.838722,-2.6645,1.139,,1.249,1.389,47
"GALP",42.836778,-2.698917,1.089,,1.189,1.299,26
"SHELL",42.864694,-2.653139,1.133,,1.215,1.355,10163
"SHELL",42.865278,-2.661139,1.143,,1.225,1.365,9927
"PETRONOR",42.859278,-2.661694,1.139,,1.239,1.339,59
"REPSOL",42.878694,-2.714472,1.149,0.818,1.249,1.349,49
"REPSOL",42.852722,-2.632167,1.139,,1.239,1.339,131
"PETRONOR",42.857472,-2.721583,1.155,,1.229,1.359,136
"REPSOL",42.877139,-2.712472,1.149,0.828,1.249,1.349,48
"REPSOL",42.864667,-2.660222,1.139,,1.239,1.339,141
"REPSOL",42.849778,-2.648306,1.139,,1.239,1.339,142
"CEPSA",42.836833,-2.658222,1.121,,1.211,1.328,56
"CEPSA",42.845639,-2.741917,1.121,,1.211,,11090
"AVIA",42.864944,-2.7105,1.129,,1.217,1.338,22
"AVIA",42.863778,-2.712722,1.139,,1.239,1.339,12416
"CEPSA ",42.818944,-2.778694,1.149,,1.249,1.349,42
