"name","lat","lon","gasoA","gasoB","gas95","gas98","id"
"PREMIRA ENERGIA NORTE, S.L.",42.846028,-2.509361,1.229,0.726,,,9381
"ES DULANTZI REPSOL",42.842917,-2.519194,1.249,,1.349,,14209
"ESTACIONES GB",43.044333,-2.989111,1.199,,1.299,1.379,13543
"CEPSA",43.031889,-2.967611,1.259,,1.339,1.454,45
"(SIN RÓTULO)",42.753194,-2.477917,1.175,,1.29,1.365,8060
"CEPSA",42.941417,-2.639528,1.259,,1.343,1.458,43
"AVIA",42.876861,-2.616361,1.259,,1.349,1.449,16
"AVIA ",43.123361,-3.122528,1.235,0.925,1.325,1.425,5
"ADS",42.870861,-2.312056,1.203,,,,12441
"CEPSA",42.866417,-2.278694,1.229,,1.309,,50
"PETRONOR",42.670222,-2.357278,1.215,0.9,1.335,,114
"REPSOL",42.878556,-2.518167,1.279,,1.359,1.483,100
"GAS NATURAL FENOSA",42.824389,-2.770694,,,,,13427
"EUROCAM",42.823778,-2.77225,1.129,,1.229,,11732
"PETRONIEVES",42.82525,-2.77475,1.119,0.932,,,13757
"REPSOL",42.635194,-2.849833,1.239,0.964,1.329,1.469,51
"REPSOL",42.547639,-2.578806,1.219,0.964,1.299,,83
"AVIA",42.755583,-3.04575,1.14,,1.24,,24
"PETRONOR",43.148639,-2.951361,1.239,,1.325,1.465,88
"EROSKI",43.138,-2.968,1.129,,1.219,1.273,32
"E.S. OION",42.490611,-2.432278,1.229,0.939,1.309,1.439,12419
"E.S. TOCALU S.L.",42.81125,-2.901944,1.159,0.789,1.249,,148
"PETRONOR",42.741361,-2.913222,1.289,,1.369,1.509,107
"PETRONOR",42.743111,-2.913306,1.289,,1.369,1.509,106
"EESS ROMPETROL",42.692917,-2.920667,1.239,,1.319,1.419,11651
"EROSKI",42.704639,-2.917639,1.14,,1.24,1.419,33
"SHELL",42.710639,-2.906944,1.279,,1.349,,8374
"ORHELA",42.84575,-2.387639,1.135,,1.28,,14196
"ALAVESA",42.852694,-2.379083,1.139,0.819,1.239,,13950
"GALP",42.848944,-2.394583,1.239,0.939,1.329,1.429,66
"ANDAMUR ""SAN ROMAN""",42.8635,-2.320361,1.259,0.976,1.341,1.481,11
"IS-XXI",42.863583,-2.324083,1.279,0.966,1.331,,12644
"VALCARCE",42.871167,-2.314083,1.249,,,,12266
"REPSOL",42.849778,-2.648306,1.249,,1.349,1.449,142
"ARMENTIA",42.837111,-2.700972,1.169,,1.269,,13064
"GALP",42.836778,-2.698917,1.223,,1.325,1.459,26
"REPSOL",42.842833,-2.682278,1.259,,1.339,1.449,133
"CEPSA",42.852417,-2.709972,1.259,,1.343,1.458,11010
"CEPSA",42.849028,-2.693722,1.258,,1.344,1.459,8125
"AVIA",42.863778,-2.712722,1.259,,1.349,1.449,12416
"ONAINDIA",42.857194,-2.716389,1.235,0.81,1.335,1.445,12105
"AVIA",42.864944,-2.7105,1.235,,1.335,1.438,22
"EROSKI",42.854694,-2.708611,1.159,,1.259,,12997
"REPSOL",42.838722,-2.6645,1.259,,1.329,1.449,47
"CEPSA",42.836833,-2.658222,1.259,,1.343,1.458,56
"REPSOL",42.864667,-2.660222,1.249,,1.349,1.449,141
"BP  VITORIA",42.856194,-2.656861,1.259,,1.359,1.504,11531
"PETRONOR",42.859278,-2.661694,1.249,,1.349,1.449,59
